Frame,Contour ID,Length
1,12801,0.100
1,12803,0.101
1,12804,0.078
1,12805,0.095
1,12806,0.065
1,12808,0.455
1,12809,6.118
1,12810,0.847
1,12811,3.255
1,12812,0.986
1,12813,10.938
1,12815,0.107
1,12816,0.126
1,12818,15.375
1,12819,0.114
1,12821,0.219
1,12822,6.845
1,12823,7.961
1,12824,8.890
1,12825,0.192
1,12827,9.824
1,12828,4.213
1,12829,2.069
1,12830,13.631
1,12831,9.495
1,12832,3.467
1,12833,4.519
1,12834,6.496
1,12835,3.364
1,12837,0.109
1,12838,0.218
1,12839,4.122
1,12840,2.539
1,12841,1.563
1,12842,13.198
1,12843,0.102
1,12845,7.041
1,12847,4.548
1,12848,0.340
1,12849,0.749
1,12850,2.171
1,12851,6.289
1,12852,3.286
1,12853,0.152
1,12855,3.539
1,12856,2.411
1,12857,2.172
1,12858,3.281
1,12859,11.696
1,12860,1.136
1,12861,17.025
1,12862,7.024
1,12863,1.925
1,12864,1.530
1,12865,2.141
1,12866,0.081
1,12868,0.224
1,12870,0.222
1,12871,4.642
1,12872,2.477
1,12874,0.464
1,12875,0.419
1,12876,1.715
1,12877,0.202
1,12878,0.085
1,12880,2.284
1,12882,0.306
1,12883,0.073
1,12884,1.059
1,12885,3.684
1,12886,0.947
1,12887,2.267
1,12889,0.340
1,12890,0.123
1,12892,0.198
1,12894,0.097
1,12895,7.970
1,12897,13.194
1,12899,8.704
1,12902,3.544
1,12904,1.425
1,12905,2.822
1,12907,14.645
1,12912,5.074
1,12916,0.257
1,12918,0.244
1,12921,0.527
1,12923,10.777
1,12926,0.157
1,12928,3.625
1,12930,3.945
1,12932,4.926
1,12934,1.542
1,12936,1.210
1,12938,0.073
1,12940,0.491
1,12941,3.639
1,12942,7.453
1,12945,0.123
1,12947,0.112
1,12949,4.105
1,12951,1.092
1,12953,1.256
1,12954,10.067
1,12956,8.014
1,12961,1.648
1,12963,3.576
1,12965,3.112
1,12967,1.923
1,12969,2.671
1,12971,6.569
